id,category,keywords,"Arts, Crafts, Music and Drama;",Community resouces;,Day opportunities;,Entertainment and leisure;,Social groups;,Support and community groups;,Support and assistance;,Young people's activities;,legacy_categories,area,parent_organisation,name,Monday;,Tuesday;,Wednesday;,Thursday;,Friday;,Saturday;,Sunday;,days,daytime,frequency,venue,postcode,price,contact_name,phone,url,email,description,last_updated,review_date,review_notes,assigned_to,review_number,Young people;,Young adults;,Older adults;,age_groups,Autism;,Dementia;,Learning difficulties;,Mental health;,Older people;,Physical disability;,Hearing or visual impairment;,suitability,vol_dbs_check,safeguarding,health_safety,insurance,accessibility,clo_notes,laf_area,ccg_locality,review_status
3056,Active,Exercise,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,,Yoga - Buckingham,Monday;,,,,,,,Monday;,FALSE,Monday10:00-11:00,"Buckingham Community Centre, Cornwalls Meadows, Buckingham",MK18 1RP,£7,Amy,07967 306124,https://www.yogahub.co.uk/listing/united-kingdom/buckinghamshire/buckingham/yoga-with-eva/,amy@departmentofyoga.com,"Mindful movement to increase your sense of wellbeing. Improve strength, flexibility and posture, feel calmer. Starting May 14th 2019.  Mixed level, friendly class, everyone welcom",9/4/2019,,2019-04-09 JAL - List provided by venue,,,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3057,Active,Music/Drama;Social,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,,Tea Dance - Buckingham,Monday;,,,,,,,Monday;,TRUE,Monday 13:45-15:45,"Buckingham Community Centre, Cornwalls Meadows, Buckingham",MK18 1RP,£2,,07905 639456,,,Join us for a Tea Dance every Monday,9/4/2019,,2019-04-09 JAL - List provided by venue,,8,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3058,Support,Support,,,,,,,Support and assistance;,,Support and assistance;,Buckingham,Kumon Maths & English Study Programmes,,Monday;,,,Thursday;,,,,Monday;Thursday;,FALSE,"Monday, Thursday","Buckingham Community Centre, Cornwalls Meadows, Buckingham",MK18 1RP,,,,https://www.kumon.co.uk,via website,The Kumon Maths and English Study Programmes enable children of any age and ability to build key learning foundations. Our programmes will not only help your child to become a confident learner,9/4/2019,,2019-04-09 JAL - List provided by venue,,,Young people;,,,Young people;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3059,Cultural,Arts/Crafts,"Arts, Crafts, Music and Drama;",,,,,,,,"Arts, Crafts, Music and Drama;",Buckingham,,Fine Arts - Buckingham,,,Wednesday;,,,,,Wednesday;,TRUE,3rd Wednesday 14:30,"Buckingham Community Centre, Cornwalls Meadows, Buckingham",MK18 1RP,,Jack Ryley,01280 812412,https://theartssociety.org/buckingham,jackryley@btinternet.com,"A number of visits, usually for a full day, are organised each year to a variety of galleries, houses and places of artistic interest. A Study Day on a particular creative arts’ topic is normally organised annually.",9/4/2019,,2019-04-09 JAL - List provided by venue,,8,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3060,Active,Exercise,,,,Entertainment and leisure;,,,,,Entertainment and leisure;,Buckingham,,Pilates - Buckingham,,,,Thursday;,,,,Thursday;,TRUE,Thursday 09:30-10:30,"Buckingham Community Centre, Cornwalls Meadows, Buckingham",MK18 1RP,,Beth Duff,,https://www.classfinder.org.uk/fitness-class/listing/pilates/buckingham,,Pilates is a fantastic way to increase your fitness; strengthen and protect your body from injury.,9/4/2019,,2019-04-09 JAL - List provided by venue,,8,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3061,Support,Support,,,,,,,Support and assistance;,,Support and assistance;,Buckingham,Weight Watchers,Weight Watchers - Buckingham,,,,,,,Sunday;,Sunday;,TRUE,Sunday 10:00,"Buckingham Community Centre, Cornwalls Meadows, Buckingham",MK18 1RP,,,,https://www.weightwatchers.com/uk/find-a-meeting/search?search=Buckingham,,Get strategies on achieving a healthier lifestyle from a supportive Wellness Coach.,9/4/2019,,2019-04-09 JAL - List provided by venue,,8,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3062,,,,,,,,,,,,Buckingham,RCCG Overcomers House,Redeemed Church - Buckingham,,,,,,,Sunday;,Sunday;,TRUE,Sunday,"Buckingham Community Centre, Cornwalls Meadows, Buckingham",MK18 1RP,,,01908 941658,http://www.rccgovercomershousebuckingham.org,office@rccgovercomershousebuckingham.org,"The Overcomers House, Bucks is one of the Parishes of the Redeemed Christian Church of God located in Buckingham. The Church was established in 2015. New members are welcome.",9/4/2019,,2019-04-09 JAL - List provided by venue,,8,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3063,Support,Support,,,,,,Support and community groups;,,,Support and community groups;,Buckingham,,Weight Watchers Wellness Workshop,,Tuesday;,,,,,,Tuesday;,TRUE,Tuesday 09:30,"Buckingham Athletics Sports & Social Club, Stratford Road, Stratford Fields, Buckingham",,,,03456 777788,ww.com,,Get strategies on achieving a healthier lifestyle from a supportive Wellness Coach.,15/4/2019,,2019-04-15 JAL - notice boards at venues,,8,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3064,Social,Music/Drama,"Arts, Crafts, Music and Drama;",,,,,,,,"Arts, Crafts, Music and Drama;",Buckingham,,Heart Strings Orchestra,,,Wednesday;,,,,,Wednesday;,FALSE,Wednesday20:00-11:00,"Buckingham Community Centre, Cornwalls Meadows, Buckingham",MK18 1RP,£3,Rachel Fountain,07789 050257,,,"Eart Strings is a friendly and support amateur string orchestra playing a variety of musice from Baroque to Classical, Tomantic to Moder with  two to three concerts every year.  Players of all standards welcome if you love playing",15/4/2019,,2019-04-15 JAL - notice boards at venues,,,,Young adults;,Older adults;,Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
3003,Active,Exercise;Social,,,,Entertainment and leisure;,Social groups;,,,,Entertainment and leisure;Social groups;,Buckingham,,Buckingham Athletic Sports & Social Club,Monday;,Tuesday;,,Thursday;,Friday;,Saturday;,Sunday;,Monday;Tuesday;Thursday;Friday;Saturday;Sunday;,TRUE,Daily,"Stratford Road, Buckingham",MK18 1NY,,,01280 816945,https://www.buckinghamathletic.co.uk,via website,"The club is situated in the heart of Buckingham alongside the “Riverside Walk” and although primarily recognised for football it is keen to diversify to other activities and help outside organisations. Also can be hired for events, please contact for info",29/3/2019,,2019-03-29 JAL - data acquired from their website,,8,Young people;,Young adults;,Older adults;,Young people;Young adults;Older adults;,,,,,,,,,,,,,,,Buckingham,AV North,New Entry
